번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
568,사다새,Pelecanus crispus,IOS,NT,0,,V2
569,뿔매,Nisaetus nipalensis,REX,NT,0,,V2
570,흰올빼미,Bubo scandiacus,IOS,VU,0,,V2
571,뿔호반새,Megaceryle lugubris,IOS,LC,0,W,V2
572,크낙새,Dryocopus javensis,REX,LC,1,,
573,북방쇠박새,Poecile montanus,IOS,LC,0,W,V2
574,꼬리치레,Rhopophilus pekinensis,NRO,LC,2,,V2
575,흰죽지솔잣새,Loxia leucoptera,IOS,LC,0,,V2
0,큰뻐꾸기사촌,Centropus sinensis,IOS,LC,0,,V2
0,미국검은가슴물떼새,Pluvialis dominica,IOS,LC,0,,V2
0,작은바다쇠오리,Alle alle,IOS,LC,0,,V2
0,흰발톱황조롱이,Falco naumanni,IOS,LC,0,,V2
0,큰까마귀,Corvus corax,IOS,LC,0,,V2
0,흰머리유리박새,Cyanistes cyanus,IOS,LC,0,,V2
0,큰부리종다리,Melanocorypha bimaculata,IOS,LC,0,,V2
0,진푸른딱새,Ficedula tricolor,IOS,LC,0,,V2
0,알락딱새,Ficedula hypoleuca,IOS,LC,0,,V2
0,흰날개딱새,Phoenicurus erythrogastrus,IOS,LC,0,,V2
0,캐나다흑꼬리도요,Limosa haemastica,IOS,LC,0,,V2
0,큰흰물떼새,Charadrius dealbatus,IOS,DD,0,,
0,알바트로스,Phoebastria albatrus,IOS,VU,0,,V2
0,대륙말똥가리,Buteo buteo,IOS,LC,0,,V2
0,북방쇠종다리,Alaudala cheleensis,IOS,NR,0,,V2
0,짙은갈색제비,Riparia chinensis,IOS,LC,0,,V2
0,대륙솔새,Phylloscopus trochiloides,IOS,LC,0,,
0,갈색찌르레기,Acridotheres tristis,IOS,LC,0,,V2
0,서양딱새,Phoenicurus phoenicurus,IOS,LC,0,,V2
0,서양긴발톱할미새,Motacilla flava,IOS,LC,0,,V2
1,E 검은날개흰따오기,Threskiornis aethiopicus,IOS,LC,0,,V2
